cbcl_column_name,column_name,CBCL Score_estimate,CBCL Score_t_value,CBCL Score_std_error,CBCL Score_p_value,CBCL Score_p_adjusted,FD Motion_estimate,FD Motion_t_value,FD Motion_std_error,FD Motion_p_value,Sex_f_value,Sex_df,Sex_residual_df,Sex_p_value,Timepoint_f_value,Timepoint_df,Timepoint_residual_df,Timepoint_p_value
cbcl_scr_syn_external_t,rsfmri_cor_ngd_cerc_scs_cdelh,-0.000263448,-0.363262984,0.000725227,0.716949014,0.982954347,-0.08768803,-2.1708328,0.040393728,0.031508473,0.971013933,1,150.6377534,0.326007523,0.230187024,1,145.8594593,0.632103838
cbcl_scr_syn_internal_t,rsfmri_cor_ngd_cerc_scs_cdelh,-0.000156189,-0.166253829,0.000939462,0.86818757,0.982954347,-0.090661614,-2.271122939,0.039919289,0.024556776,0.883912393,1,150.1537594,0.34864234,0.234948406,1,146.2669026,0.628603784
cbcl_scr_dsm5_anxdisord_t,rsfmri_cor_ngd_df_scs_ptlh,0.000374845,0.572653951,0.000654574,0.567738728,0.982954347,-0.028666611,-0.890279936,0.032199548,0.374733308,0.685891962,1,150.6267412,0.4088755,0.085893781,1,146.2844282,0.769879084
cbcl_scr_syn_anxdep_t,rsfmri_cor_ngd_df_scs_ptlh,0.000256316,0.367481132,0.000697496,0.713789971,0.982954347,-0.027948207,-0.868281051,0.032187973,0.386620872,0.734903265,1,150.7209507,0.392659494,0.085223578,1,147.1564548,0.770750699
cbcl_scr_syn_external_t,rsfmri_cor_ngd_df_scs_ptlh,-0.000351508,-0.596783259,0.000589005,0.551589398,0.982954347,-0.02478471,-0.761047864,0.032566559,0.447821072,0.90318349,1,150.7177801,0.343451004,0.158304887,1,146.2710363,0.691302069
cbcl_scr_syn_internal_t,rsfmri_cor_ngd_df_scs_ptlh,0.000524341,0.690648219,0.000759201,0.490871504,0.982954347,-0.026935603,-0.836857356,0.032186612,0.403995989,0.713843236,1,150.6815447,0.399510411,0.068750277,1,146.9816008,0.793532262
cbcl_scr_dsm5_anxdisord_t,rsfmri_cor_ngd_sa_scs_ptlh,-0.00021354,-0.401556742,0.00053178,0.68859326,0.982954347,0.030996997,1.179012354,0.026290646,0.240280408,4.721732946,1,147.7429162,0.031377485,2.45624531,1,141.8343407,0.119286653
cbcl_scr_syn_anxdep_t,rsfmri_cor_ngd_sa_scs_ptlh,-0.0001643,-0.291533298,0.000563574,0.771063324,0.982954347,0.030816647,1.172506175,0.026282716,0.242870776,4.644024496,1,147.9107645,0.032780263,2.424128564,1,142.4822843,0.121698105
cbcl_scr_syn_external_t,rsfmri_cor_ngd_sa_scs_ptlh,-0.000878062,-1.870494112,0.000469428,0.063470867,0.982954347,0.039289852,1.491265872,0.026346644,0.138005739,5.977747951,1,148.7052866,0.015655882,2.913032508,1,141.486262,0.090060288
cbcl_scr_syn_internal_t,rsfmri_cor_ngd_sa_scs_ptlh,-0.000525887,-0.856645078,0.000613892,0.393061371,0.982954347,0.02988379,1.138677613,0.026244294,0.256671881,4.689621544,1,147.8926082,0.031948426,2.675005346,1,142.6345765,0.104139864
